sequence_length,lstm_units,dropout_rate,batch_size,epochs,learning_rate,n_layers,mean_val_loss,std_val_loss,fold_scores,n_samples
30,150,0.2,64,50,0.0001,1,0.002083370326242099,0.0010320817099096244,"[0.0006390719790942967, 0.002623062115162611, 0.00298797688446939]",977
30,50,0.2,16,100,0.0001,2,0.0021081891706368574,0.0014554424763000594,"[0.0004424713843036443, 0.003988190554082394, 0.0018939055735245347]",977
60,150,0.3,32,100,0.0001,2,0.0021796585836758218,0.0009185558788256955,"[0.0012380098924040794, 0.0034254607744514942, 0.0018755050841718912]",947
60,50,0.3,64,100,0.0001,2,0.002183523300724725,0.0004700838156691535,"[0.0015256485203281045, 0.002595338737592101, 0.002429582644253969]",947
60,50,0.2,64,100,0.0001,2,0.002338070267190536,0.0003369653237133801,"[0.0018810015171766281, 0.0026833717711269855, 0.002449837513267994]",947
60,100,0.2,64,100,0.0001,1,0.00240032363217324,0.0008535023366959852,"[0.001195584307424724, 0.0030671271961182356, 0.002938259392976761]",947
30,50,0.2,64,50,0.0001,3,0.0024478088210647306,0.0009046136010132217,"[0.001190933515317738, 0.003282854799181223, 0.0028696381486952305]",977
60,100,0.1,16,50,0.0001,1,0.0025356566960302493,0.001695546641483203,"[0.0007955484907142818, 0.004834463819861412, 0.0019769577775150537]",947
60,150,0.1,16,100,0.0001,3,0.00256433702694873,0.0016502711758386143,"[0.0010159561643376946, 0.004850803874433041, 0.0018262510420754552]",947
15,50,0.1,64,50,0.0001,1,0.002842127966384093,0.001089615742364601,"[0.0043678563088178635, 0.0018921582959592342, 0.002266369294375181]",992
60,100,0.1,64,100,0.0001,3,0.0030735559994354844,0.001102597751066621,"[0.001708455034531653, 0.004408760461956263, 0.0031034525018185377]",947
60,50,0.1,64,50,0.0001,3,0.0032748274194697538,0.0005282952799291608,"[0.002592378295958042, 0.0038793792482465506, 0.003352724714204669]",947
30,50,0.2,64,50,0.0001,1,0.003467064661284288,0.0008884979633486212,"[0.004722266923636198, 0.0027895295061171055, 0.00288939755409956]",977
60,50,0.1,32,50,0.0001,3,0.003719268560719987,0.0015648291694977002,"[0.00177943694870919, 0.005611586384475231, 0.003766782348975539]",947
60,50,0.3,64,50,0.0001,1,0.005732496501877904,0.004712175746566242,"[0.012365010567009449, 0.001855687703937292, 0.0029767912346869707]",947
